Collection_year,Background_pollu,Raw_cooked,Hg_conc,Tair_f_inst_MEAN,Albedo_inst_MEAN,AvgSurfT_inst_MEAN,Qsb_acc_MEAN,ECanop_tavg_MEAN,ESoil_tavg_MEAN,LWdown_f_tavg_MEAN,Evap_tavg_MEAN,Qg_tavg_MEAN,Qle_tavg_MEAN,Swnet_tavg_MEAN,Lwnet_tavg_MEAN,CanopInt_inst_MEAN,PotEvap_tavg_MEAN,Rainf_tavg_MEAN,RootMoist_inst_MEAN,Qh_tavg_MEAN,Snowf_tavg_MEAN,SnowDepth_inst_MEAN
2013,0,0,8,281.8921509,12.34100755,275.7362874,0.022249368,0.105282257,9.150806427,312.8002319,3.99E-06,-1.79172202,10.04373137,90.77693685,-70.877683,0.001509409,45.99219131,5.71E-08,602.9843343,11.85550515,1.76E-08,0.00099543
2013,0,0,8,282.7271118,14.26673365,279.7587433,0.014226714,0.025705645,14.64725828,319.61026,6.09E-06,-1.634020388,15.23420858,78.48516083,-64.0100708,0.000866935,54.47297668,1.41E-07,312.7612,1.094557971,4.03E-10,2.02E-07
2013,0,0,9,280.0591812,14.49451566,279.3966064,0.009927419,0.030221774,13.97939515,313.6056137,6.83E-06,-1.980361134,17.08910775,86.93136978,-71.5528717,0.000383065,54.68725204,0,338.5615082,0.506765693,0,0
2013,0,0,8,284.3248901,14.06255341,279.1026103,0.013411089,0.034811828,12.29971759,326.95755,5.43E-06,-1.608482758,13.56875833,77.96587626,-67.22915141,0.000422043,55.08090083,1.50E-07,308.7733663,-0.911846578,1.94E-08,4.57E-06
2012,9,0,10.5775,274.8883423,9.491027832,278.5846863,0.087416328,3.463326573,15.39193583,283.8675598,8.72E-06,-6.315146685,21.8334074,64.1466732,-33.3726635,0.11415121,49.27203369,4.75E-05,693.824646,15.33098316,2.87E-07,0.000314113
2010,1,0,29,278.5216064,13.74971771,281.8973999,0.019559273,0.197862908,19.34189606,310.468811,8.03E-06,-1.757904172,20.08304024,70.39144897,-47.08889771,0.023173386,67.68043518,3.48E-06,312.046051,5.051403522,0,0
2010,1,0,15,283.1123199,16.53266144,279.2615662,0.014839476,0.328145176,18.77846718,332.6627045,9.63E-06,-2.252662182,24.06872559,77.42709351,-50.92527008,0.003858871,64.47241211,4.59E-07,333.2180481,4.763984203,0,4.03E-07
2005,1,0,30.6,273.7858429,11.84358819,279.2608744,0.013080551,2.675578038,8.061800957,276.8591995,4.25E-06,-4.978846709,10.68563112,56.25156021,-40.32934952,0.211456989,33.81029193,1.34E-05,418.7840373,10.102911,5.89E-07,0.00147285
2010,1,0,93.6,278.4055481,21.76650357,258.5691726,0.00011672,0.00021905,0.823395816,308.0838928,1.39E-06,-7.338025673,3.843485189,126.019637,-77.05887104,1.36E-06,62.28287604,0,171.1994825,52.914923,1.30E-06,0.013375736
2010,11,0,16,283.1123199,16.53266144,279.2615662,0.014839476,0.328145176,18.77846718,332.6627045,9.63E-06,-2.252662182,24.06872559,77.42709351,-50.92527008,0.003858871,64.47241211,4.59E-07,333.2180481,4.763984203,0,4.03E-07
2010,11,0,85.8,279.6365967,16.82338715,271.3228455,0.001841573,0.185463712,9.920423508,315.8399353,4.45E-06,-1.426634014,11.17511702,90.58703613,-76.02373505,0.001592742,74.43501282,6.22E-07,235.2777634,4.917229891,1.31E-06,0.000530444
2010,11,0,22,280.9681295,16.45880985,271.4481812,0.000529476,0.120665327,5.973548412,299.9432475,2.80E-06,-1.062823534,7.017093182,94.82756042,-69.52845764,0.000774194,89.43900299,4.13E-07,198.9990845,19.4553957,8.94E-07,0.000237298
2014,1,0,170,281.1463013,21.75237846,266.3379822,0.000943427,0.006774194,4.035927296,295.2694702,3.43E-06,-3.78858161,9.16763401,88.54544067,-67.21166229,8.87E-05,50.72401428,0,267.2789917,16.14838982,4.27E-07,0.018614516
2007,1,0,5.1,277.1480103,11.741925,272.1160774,0.013907561,2.472389117,3.994833589,281.3358154,7.36E-06,-2.854255646,18.9810431,123.2649994,-54.06018019,0.010525706,101.9012737,1.07E-06,407.3456764,52.93286753,4.51E-06,0.00743251
2008,1,0,62.3,274.1374512,25.91582489,263.4707149,0.014365245,0.000592432,0.978687965,287.5845032,3.57E-06,-8.153813032,9.968992453,121.1297073,-50.87303338,9.31E-07,79.40689644,2.26E-09,185.8269735,68.93182901,5.47E-06,0.044427357
2009,0,0,3.333333333,277.7237549,12.42830594,281.1218465,0.00607703,2.453494628,17.18423398,268.415863,1.41E-05,-4.256083806,35.337279,112.0226186,-60.22434235,0.031478495,138.7676036,4.18E-06,584.3485311,21.01114209,0,0
2009,0,0,3.666666667,277.7237549,12.42830594,281.1218465,0.00607703,2.453494628,17.18423398,268.415863,1.41E-05,-4.256083806,35.337279,112.0226186,-60.22434235,0.031478495,138.7676036,4.18E-06,584.3485311,21.01114209,0,0
2010,1,0,27.6,278.4055481,21.76650357,258.5691726,0.00011672,0.00021905,0.823395816,308.0838928,1.39E-06,-7.338025673,3.843485189,126.019637,-77.05887104,1.36E-06,62.28287604,0,171.1994825,52.914923,1.30E-06,0.013375736
2010,0,0,2.8,278.4055481,21.76650357,258.5691726,0.00011672,0.00021905,0.823395816,308.0838928,1.39E-06,-7.338025673,3.843485189,126.019637,-77.05887104,1.36E-06,62.28287604,0,171.1994825,52.914923,1.30E-06,0.013375736
2006,1,0,77.825,276.773407,11.89802885,284.7642822,0.001258478,2.860267162,6.348311484,291.5240784,2.82E-05,-2.621876299,70.60378075,170.6856823,-79.19852352,0.032143145,137.8171482,4.44E-09,518.2043419,24.11468506,0,3.02E-07
2011,1,0,21.7,272.2718811,16.74358749,268.9529419,0.00019,0.034354839,3.35629034,274.1620178,1.79E-06,-9.660214424,4.522717476,87.4096756,-69.53504181,0.000177419,65.0610733,1.01E-07,256.5694275,23.13946342,1.97E-06,0.00118629
2010,0,0,1,280.6651001,11.66016102,282.1901245,0.027987702,4.56076622,15.46683407,306.2728882,9.04E-06,-1.473105729,22.62217331,72.37618637,-33.9433136,0.16468145,48.87190819,3.36E-05,667.0264893,17.37057686,0,0
2011,0,0,11.7,272.7981771,11.65695548,280.6403198,0.007920272,1.891683459,12.44131064,251.2980296,9.30E-06,-6.985566974,23.26336288,80.28536224,-42.60471535,0.030071572,85.94022751,5.88E-06,383.1258392,21.52096558,1.71E-09,1.11E-06
2011,0,0,8.6,271.237793,12.25032234,281.7218933,0.009585967,1.388346791,19.36278152,250.6934865,1.05E-05,-6.378238678,26.21017647,91.07076263,-46.45810318,0.040052418,89.74760437,7.62E-06,478.4243164,24.90954399,0,0
2011,0,0,16,271.5859833,13.92935467,282.90448,0.029573791,1.89895159,12.44800377,253.4039612,9.82E-06,-6.797069073,24.56814003,107.0572777,-56.08126831,0.019556452,124.2488594,9.70E-06,272.8611984,33.29956532,0,0
2011,0,0,8.1,272.5863342,11.99147828,280.7197978,0.00964793,1.812903206,12.25575256,250.6250305,9.04E-06,-6.863157908,22.59910202,86.63969167,-45.19087219,0.039,80.31502533,6.98E-06,355.0246175,25.85529709,6.72E-10,1.34E-07
2011,0,0,4,272.7077942,13.66309643,282.578363,0.008576782,2.78665328,20.75372581,246.4633942,1.50E-05,-5.906295013,37.44429855,110.0688629,-53.20265121,0.038714516,105.7098572,9.11E-06,471.8372375,25.47524605,0,0
2011,0,0,7.3,273.04599,12.7615118,280.6779709,0.007268841,2.080090702,15.07644129,248.1254425,1.16E-05,-6.412038803,29.02046871,99.70025063,-50.76503849,0.016571573,106.473362,9.53E-06,443.7162323,26.47695351,0,1.01E-07
2011,0,0,8.3,272.5737712,14.29943514,282.6888657,0.031429698,1.414667338,14.88761091,249.4653931,9.97E-06,-7.060345411,24.93023777,105.1955948,-54.86946297,0.019508064,127.5150948,9.53E-06,351.3972874,32.59985733,0,0
2011,0,0,7,272.5335432,13.35870934,283.6524353,0.039172985,2.929919243,18.12564468,249.5884203,1.27E-05,-7.076907635,31.65078163,110.9216156,-54.6115303,0.055197582,118.3628082,9.05E-06,319.8175049,31.87353706,0,0
2011,0,0,6.6,272.9531657,12.26263676,279.7061218,0.006955363,3.173306441,13.93954849,250.8455302,1.10E-05,-6.92644825,27.73538704,80.61457977,-41.97528763,0.046704032,100.2172195,6.58E-06,428.0878845,17.80854416,1.48E-06,0.00187871
2011,0,0,20.8,273.0674744,12.86145147,278.8116557,0.011884032,2.77791667,15.13039017,248.0732941,9.72E-06,-6.747647127,24.31191127,89.66090139,-45.93740463,0.035157258,88.00578817,5.12E-06,441.9968974,26.28764915,5.22E-08,1.03E-05
2011,0,0,7.9,269.213562,17.24779542,274.2682292,0.03993293,0.792163988,25.35560417,228.5823822,1.30E-05,-9.840590795,33.33079592,57.68435415,-33.9417038,0.124689514,82.37156932,5.92E-06,557.9335327,-0.50431325,5.40E-06,0.010244892
